id,text
1,<p>I LOVE Python!!! 😊 Visit https://python.org now.</p>
2,"I'm learning NLP, and I can't stop!"
3,Contact me at aryan123@gmail.com for details.
4,WELCOME     TO     MACHINE      LEARNING!!!
5,Price: ₹999 only!!! #Sale #Python
6,@john Please check this link: http://example.com
7,<div>Artificial Intelligence is AWESOME!!! 😍</div>
8,Today's date is 01/07/2026 and time is 10:30 AM.
9,Call me at 9876543210 tomorrow.
10,"Python		is

awesome."
11,Email: test.user99@yahoo.com Visit www.google.com
12,He hasn't finished the assignment yet.
13,They're going to New Delhi next week!
14,The QUICK Brown FoX jumps over the lazy DOG.
15,<h1>Breaking News!!!</h1> Stocks increased by 25% 📈
16,My username is @aryan_jain and my hashtag is #NLP2026
17,Café prices are €15 in Paris.
18,Hello!!! $$$ What%%% is@@@ this???
19,Machine-learning and deep-learning are exciting fields.
20,Visit https://openai.com/blog?query=nlp&lang=en 😊
